Tokyo, Japan, pop=37785000
Jakarta, Indonesia, pop=33756000
Delhi, India, pop=32226000
Guangzhou, China, pop=26940000
Mumbai, India, pop=24973000
Manila, Philippines, pop=24922000
Shanghai, China, pop=24073000
São Paulo, Brazil, pop=23086000
Seoul, Korea, South, pop=23016000
Mexico City, Mexico, pop=21804000
Kolkāta, India, pop=21747000
Cairo, Egypt, pop=20296000
Karachi, Pakistan, pop=20249000
Dhaka, Bangladesh, pop=19134000
New York, United States, pop=18832416
Beijing, China, pop=18522000
Bangkok, Thailand, pop=18007000
Shenzhen, China, pop=17619000
Moscow, Russia, pop=17332000
Buenos Aires, Argentina, pop=16710000
Lagos, Nigeria, pop=16637000
Bangalore, India, pop=15386000
Ho Chi Minh City, Vietnam, pop=15136000
Ōsaka, Japan, pop=15126000
Chengdu, China, pop=14645000
Istanbul, Turkey, pop=14441000
Tehran, Iran, pop=14148000
Kinshasa, Congo (Kinshasa), pop=12836000
Rio de Janeiro, Brazil, pop=12592000
Chennai, India, pop=12395000
Xi’an, China, pop=12328000
Lahore, Pakistan, pop=12306000
Chongqing, China, pop=12135000
Los Angeles, United States, pop=11885717
London, United Kingdom, pop=11262000
Paris, France, pop=11060000
Linyi, China, pop=10820000
Dongguan, China, pop=10646000
Baoding, China, pop=10546831
Hyderābād, India, pop=10494000
Tianjin, China, pop=10368000
Lima, Peru, pop=10320000
Wuhan, China, pop=10251000
Nanyang, China, pop=9577771
Hangzhou, China, pop=9523000
Nagoya, Japan, pop=9197000
Luanda, Angola, pop=9051000
Foshan, China, pop=9042500
Kuala Lumpur, Malaysia, pop=8911000
Zhoukou, China, pop=8677800
Tongshan, China, pop=8669000
Hanoi, Vietnam, pop=8587100
Chicago, United States, pop=8489066
Nanjing, China, pop=8422000
Heze, China, pop=8287693
Pune, India, pop=8231000
Jining, China, pop=8081905
Bogotá, Colombia, pop=8034649
Ahmedabad, India, pop=8009000
Shenyang, China, pop=7964000
Dar es Salaam, Tanzania, pop=7962000
Khartoum, Sudan, pop=7869000
Johannesburg, South Africa, pop=7860781
Fuyang, China, pop=7599913
Hong Kong, Hong Kong, pop=7450000
Ganzhou, China, pop=7396873
Shangqiu, China, pop=7325300
Cangzhou, China, pop=7300783
Riyadh, Saudi Arabia, pop=7237000
Santiago, Chile, pop=7171000
Zhumadian, China, pop=7008427
Zhanjiang, China, pop=6981236
Rangoon, Burma, pop=6874000
Yancheng, China, pop=6709629
Bijie, China, pop=6686100
Xingtai, China, pop=6645766
Hengyang, China, pop=6645243
Shaoyang, China, pop=6563520
Surabaya, Indonesia, pop=6556000
Sūrat, India, pop=6538000
Quanzhou, China, pop=6480000
Shangrao, China, pop=6435300
Zunyi, China, pop=6270700
Madrid, Spain, pop=6211000
Baghdad, Iraq, pop=6183000
Maoming, China, pop=6174050
Miami, United States, pop=6113982
Xinyang, China, pop=6109106
Houston, United States, pop=6046392
Singapore, Singapore, pop=5983000
Prayagraj, India, pop=5954391
Huanggang, China, pop=5882719
Dalian, China, pop=5871474
Ankara, Turkey, pop=5864049
Dallas, United States, pop=5843632
Qingdao, China, pop=5818255
Yulin, China, pop=5796766
Liaocheng, China, pop=5789863
Douala, Cameroon, pop=5768400
Qujing, China, pop=5765775
Nangandao, China, pop=5708191
Addis Ababa, Ethiopia, pop=5704000
Philadelphia, United States, pop=5696588
Toronto, Canada, pop=5647656
Zhengzhou, China, pop=5621593
Nanchong, China, pop=5607565
Jinan, China, pop=5606374
Giza, Egypt, pop=5598402
Saint Petersburg, Russia, pop=5597763
Jieyang, China, pop=5577814
Dezhou, China, pop=5568235
Nairobi, Kenya, pop=5545000
Guadalajara, Mexico, pop=5525000
Tai’an, China, pop=5472217
Dazhou, China, pop=5385422
Belo Horizonte, Brazil, pop=5328000
Suzhou, China, pop=5324476
Monterrey, Mexico, pop=5324281
Yongzhou, China, pop=5289824
Changde, China, pop=5279102
Xiangyang, China, pop=5260951
Atlanta, United States, pop=5211164
Pudong, China, pop=5187200
Washington, United States, pop=5146120
Zhaotong, China, pop=5092611
Zhangzhou, China, pop=5054328
Yueyang, China, pop=5051922
Melbourne, Australia, pop=5031195
Yichun, China, pop=5007702
Abidjan, Côte d’Ivoire, pop=4980000
Guilin, China, pop=4931137
Pingdingshan, China, pop=4904701
Alexandria, Egypt, pop=4870000
Bozhou, China, pop=4850657
Sydney, Australia, pop=4840600
Barcelona, Spain, pop=4800000
Yuncheng, China, pop=4774508
Cape Town, South Africa, pop=4770313
Changsha, China, pop=4766296
Suqian, China, pop=4719178
Jeddah, Saudi Arabia, pop=4697000
Weinan, China, pop=4688744
Berlin, Germany, pop=4679500
Chenzhou, China, pop=4667134
Jiangmen, China, pop=4630300
Mianyang, China, pop=4613862
Jiujiang, China, pop=4600276
Huaihua, China, pop=4587594
Huanglongsi, China, pop=4564900
Taizhou, China, pop=4512762
Belāhi, India, pop=4487379
Yibin, China, pop=4471896
Ji’an, China, pop=4469176
Yangzhou, China, pop=4459760
Kunming, China, pop=4422686
Changchun, China, pop=4408154
Lu’an, China, pop=4393699
Xinpu, China, pop=4393482
Langfang, China, pop=4358839
Boston, United States, pop=4355184
Ürümqi, China, pop=4335017
Suzhou, China, pop=4330000
Guigang, China, pop=4316262
Shantou, China, pop=4312192
Jiangguanchi, China, pop=4307488
Kabul, Afghanistan, pop=4273156
Xiaoganzhan, China, pop=4270371
Bamako, Mali, pop=4227569
Kano, Nigeria, pop=4224966
Luzhou, China, pop=4218427
Hefei, China, pop=4216940
Hengshui, China, pop=4212933
Fortaleza, Brazil, pop=4167996
Anqing, China, pop=4165284
Zhangjiakou, China, pop=4118908
Zhaoqing, China, pop=4113594
Shijiazhuang, China, pop=4098243
Ningbo, China, pop=4087523
